,LG,LG_block,X,position_window,Position_on_LG,CM_position,n,coefficient,block_size,cytotype,window_size,coefficient_MB,LG_final
1,L.10,0,3,2,12370349.9730733,90.6835122202328,75.8,-2.96187802925505e-07,25MB,NC,5000000,-0.296187802925505,Sex
2,L.10,1,8,7,37017351.9823864,57.8251802535795,15,7.49389412579747e-07,25MB,NC,5000000,0.749389412579747,Sex
3,L.10,2,12.5,12,63014971.7125,55.718042515,5.5,-1.89956203538847e-21,25MB,NC,5000000,-1.89956203538847e-15,Sex
4,L.10,3,16,16.3333333333333,85264578.5106838,55.57914791,6.66666666666667,-2.67164329869516e-17,25MB,NC,5000000,-2.67164329869516e-11,Sex
5,L.10,4,18.5,23.5,121136775.151515,50.79511513,8.5,3.1472928257719e-21,25MB,NC,5000000,3.1472928257719e-15,Sex
6,L.10,5,20.5,26.5,134128977.25,54.687247035,5.5,1.12502990619779e-05,25MB,NC,5000000,11.2502990619779,Sex
7,L.3,0,24,2,12649342.2512534,33.7518253638093,98.8,-2.22797295196748e-06,25MB,NC,5000000,-2.22797295196748,A4
8,L.3,1,27.5,7,36146422.2293307,31.4849755241919,67.5,-9.94606357605461e-06,25MB,NC,5000000,-9.94606357605461,A4
9,L.5,0,31,2,12601550.5482952,32.2707629544948,89.6,2.31023700425653e-07,25MB,NC,5000000,0.231023700425653,A3
10,L.5,1,36,7,37161663.7932414,44.4863028291479,36.8,-4.75262778251375e-07,25MB,NC,5000000,-0.475262778251375,A3
11,L.5,2,39,14,73115029,18.89920562,1,NA,25MB,NC,5000000,NA,A3
12,L.5,3,41.5,17.5,89738901.2914708,50.79511513,18,1.27582319501521e-21,25MB,NC,5000000,1.27582319501521e-15,A3
13,L.5,4,46,22,112974281.853147,50.79511513,10.4,4.06746439305096e-21,25MB,NC,5000000,4.06746439305096e-15,A3
14,L.5,5,50.5,26.5,134319865.925,51.0477941165,4.25,-6.97773541802034e-08,25MB,NC,5000000,-0.0697773541802034,A3
15,L.7,0,54.5,1.5,9438995.10450858,100.016549887413,73.5,-1.66871054687003e-06,25MB,NC,5000000,-1.66871054687003,A1
16,L.7,5,57,28,140610508.25,0,20,0,25MB,NC,5000000,0,A1
17,L.7,6,58.5,33,166656086.555555,70.756062455,5,1.57081057677887e-17,25MB,NC,5000000,1.57081057677887e-11,A1
18,L.7,7,60.5,36,181848153.5,67.31107719,1,NA,25MB,NC,5000000,NA,A1
19,L.7,12,62,64,322365609,20.72993607,2,2.35837167898541e-05,25MB,NC,5000000,23.5837167898541,A1
20,L.7,13,64,67,337890959.485134,38.221997261625,113,3.05227483937135e-06,25MB,NC,5000000,3.05227483937135,A1
21,L.8,0,68,2,12779868.8281975,80.3120824511596,90.8,-1.74418604239382e-06,25MB,NC,5000000,-1.74418604239382,A2
22,L.8,1,73,7,37269116.4117525,72.5406496625995,31.8,1.08950386456975e-06,25MB,NC,5000000,1.08950386456975,A2
23,L.8,2,78,12,62341595.5159298,54.083342111538,19.4,-2.74224193713674e-07,25MB,NC,5000000,-0.274224193713674,A2
