,LG,LG_block,X,position_window,Position_on_LG,CM_position,n,coefficient,block_size,cytotype,window_size,coefficient_MB,LG_final
385,L.10,0,63,234.288,11739988.07,29.36040682,4.584,4.66E-07,25MB,TX,50000,4.66E-13,Sex
386,L.10,1,136.5,651.9545455,32623851.29,51.3515,3.454545455,3.77E-18,25MB,TX,50000,3.77E-24,Sex
387,L.10,2,169,1270.930233,63576645.94,54.71767907,2.860465116,-3.85E-18,25MB,TX,50000,-3.85E-24,Sex
388,L.10,3,204.5,1588.928571,79477169.28,54.9159,2.107142857,-2.62E-17,25MB,TX,50000,-2.62E-23,Sex
389,L.10,4,236,2191.714286,109610206.2,57.68410571,2.314285714,6.30E-05,25MB,TX,50000,6.30E-11,Sex
390,L.10,5,264.5,2693.772727,134720757.3,60.60511364,1.727272727,2.28E-16,25MB,TX,50000,2.28E-22,Sex
391,L.3,0,315.5,227.55,11400161.27,22.96160175,3.225,1.29E-06,25MB,TX,50000,1.29E-12,A4
392,L.3,1,372.5,766.7647059,38359881.94,39.76112353,2.117647059,1.56E-17,25MB,TX,50000,1.56E-23,A4
393,L.3,2,398.5,1296.555556,64851818.62,40.0118,1.666666667,0,25MB,TX,50000,0.00E+00,A4
394,L.3,3,412.5,1604.2,80233104.62,40.0118,1.7,-7.58E-17,25MB,TX,50000,-7.58E-23,A4
395,L.3,4,418.5,2290,114535699.3,40.58,1.5,1.24E-16,25MB,TX,50000,1.24E-22,A4
396,L.3,5,420.5,2723.5,136207033.9,40.58,3.5,1.23E-17,25MB,TX,50000,1.23E-23,A4
397,L.3,6,422.5,3023.5,151195538.8,40.8641,2,-2.58E-16,25MB,TX,50000,-2.58E-22,A4
398,L.5,0,432.5,128.2777778,6444577.944,37.4299,1.388888889,3.01E-18,25MB,TX,50000,3.01E-24,A3
399,L.5,1,459.5,769.5555556,38498423.23,43.79760556,1.638888889,-9.31E-18,25MB,TX,50000,-9.31E-24,A3
400,L.5,2,495.5,1306.055556,65326618.72,74.03875556,2.166666667,2.35E-17,25MB,TX,50000,2.35E-23,A3
401,L.5,3,531.5,1614.222222,80733923.46,89.86943889,3.388888889,3.03E-17,25MB,TX,50000,3.03E-23,A3
402,L.5,4,550.5,2244,112226761.8,92.3791,1.5,1.26E-17,25MB,TX,50000,1.26E-23,A3
403,L.5,5,553.5,2734.75,136762316.3,92.6632,1.5,2.09E-16,25MB,TX,50000,2.09E-22,A3
404,L.5,6,559,3268.142857,163424499,94.4897,1.285714286,1.50E-16,25MB,TX,50000,1.50E-22,A3
405,L.7,0,597.5,158.8428571,7966863.73,20.52816948,2.814285714,1.39E-06,25MB,TX,50000,1.39E-12,A1
406,L.7,1,637.5,742.3,37145527.7,38.19234,2.7,1.91E-19,25MB,TX,50000,1.91E-25,A1
407,L.7,2,648,1149,57467281.24,38.3628,1.272727273,-1.22E-18,25MB,TX,50000,-1.22E-24,A1
