"","bins","chr","mark"
"1",1,"1","ScnbKXS_292-HRSCAF-342_44408"
"2",1,"1","ScnbKXS_292-HRSCAF-342_40437"
"3",1,"1","ScnbKXS_292-HRSCAF-342_46216"
"4",1,"1","ScnbKXS_292-HRSCAF-342_79094"
"5",1,"1","ScnbKXS_292-HRSCAF-342_81859"
"6",1,"1","ScnbKXS_292-HRSCAF-342_82634"
"7",1,"1","ScnbKXS_292-HRSCAF-342_684086"
"8",1,"1","ScnbKXS_292-HRSCAF-342_687692"
"9",1,"1","ScnbKXS_3564-HRSCAF-4214_733245"
"10",1,"1","ScnbKXS_3564-HRSCAF-4214_733940"
"11",1,"1","ScnbKXS_3564-HRSCAF-4214_735223"
"12",1,"1","ScnbKXS_3564-HRSCAF-4214_735386"
"13",1,"1","ScnbKXS_3564-HRSCAF-4214_736149"
"14",1,"1","ScnbKXS_3564-HRSCAF-4214_738135"
"15",1,"1","ScnbKXS_3564-HRSCAF-4214_762191"
"16",1,"1","ScnbKXS_3564-HRSCAF-4214_1360781"
"17",1,"1","ScnbKXS_3564-HRSCAF-4214_1601165"
"18",1,"1","ScnbKXS_3564-HRSCAF-4214_1601191"
"19",1,"1","ScnbKXS_3564-HRSCAF-4214_1603166"
"20",1,"1","ScnbKXS_3564-HRSCAF-4214_1603197"
"21",1,"1","ScnbKXS_3564-HRSCAF-4214_1603424"
"22",1,"1","ScnbKXS_3564-HRSCAF-4214_1919656"
"23",1,"1","ScnbKXS_3564-HRSCAF-4214_1921778"
"24",1,"1","ScnbKXS_3564-HRSCAF-4214_1923962"
"25",1,"1","ScnbKXS_3564-HRSCAF-4214_2552378"
"26",1,"1","ScnbKXS_3564-HRSCAF-4214_2552424"
"27",1,"1","ScnbKXS_3564-HRSCAF-4214_2552614"
"28",1,"1","ScnbKXS_3564-HRSCAF-4214_2553129"
"29",1,"1","ScnbKXS_3564-HRSCAF-4214_2671677"
"30",1,"1","ScnbKXS_3564-HRSCAF-4214_2978059"
"31",1,"1","ScnbKXS_3564-HRSCAF-4214_4395380"
"32",1,"1","ScnbKXS_3564-HRSCAF-4214_4395435"
"33",1,"1","ScnbKXS_3754-HRSCAF-4434_159368"
"34",1,"1","ScnbKXS_3754-HRSCAF-4434_190048"
"35",1,"1","ScnbKXS_3754-HRSCAF-4434_190092"
"36",1,"1","ScnbKXS_3754-HRSCAF-4434_190330"
"37",1,"1","ScnbKXS_3754-HRSCAF-4434_1045972"
"38",1,"1","ScnbKXS_3754-HRSCAF-4434_1047380"
"39",1,"1","ScnbKXS_3754-HRSCAF-4434_1048324"
"40",1,"1","ScnbKXS_3754-HRSCAF-4434_1048437"
"41",1,"1","ScnbKXS_3754-HRSCAF-4434_1048791"
"42",1,"1","ScnbKXS_3754-HRSCAF-4434_1049039"
"43",1,"1","ScnbKXS_3754-HRSCAF-4434_2344218"
"44",1,"1","ScnbKXS_3754-HRSCAF-4434_2345583"
"45",1,"1","ScnbKXS_3754-HRSCAF-4434_2999097"
"46",1,"1","ScnbKXS_3754-HRSCAF-4434_3001275"
"47",1,"1","ScnbKXS_3754-HRSCAF-4434_4054174"
"48",1,"1","ScnbKXS_3754-HRSCAF-4434_4688440"
"49",1,"1","ScnbKXS_3754-HRSCAF-4434_4689497"
"50",1,"1","ScnbKXS_3754-HRSCAF-4434_5478872"
"51",1,"1","ScnbKXS_3754-HRSCAF-4434_5480760"
"52",1,"1","ScnbKXS_3754-HRSCAF-4434_6027031"
"53",1,"1","ScnbKXS_3754-HRSCAF-4434_6027938"
"54",1,"1","ScnbKXS_3754-HRSCAF-4434_9242357"
"55",1,"1","ScnbKXS_3754-HRSCAF-4434_10721449"
"56",1,"1","ScnbKXS_3754-HRSCAF-4434_10723690"
"57",1,"1","ScnbKXS_3754-HRSCAF-4434_10766201"
"58",1,"1","ScnbKXS_3754-HRSCAF-4434_10766633"
"59",1,"1","ScnbKXS_3754-HRSCAF-4434_10766654"
"60",1,"1","ScnbKXS_3754-HRSCAF-4434_10915955"
"61",1,"1","ScnbKXS_3754-HRSCAF-4434_10915959"
"62",1,"1","ScnbKXS_3754-HRSCAF-4434_10916226"
"63",1,"1","ScnbKXS_3754-HRSCAF-4434_11027008"
"64",1,"1","ScnbKXS_3754-HRSCAF-4434_11027029"
"65",1,"1","ScnbKXS_3754-HRSCAF-4434_11028300"
"66",1,"1","ScnbKXS_3754-HRSCAF-4434_11028325"
"67",1,"1","ScnbKXS_3754-HRSCAF-4434_11028556"
"68",1,"1","ScnbKXS_3754-HRSCAF-4434_11087109"
"69",1,"1","ScnbKXS_3754-HRSCAF-4434_11090446"
"70",1,"1","ScnbKXS_3754-HRSCAF-4434_11090473"
"71",1,"1","ScnbKXS_3754-HRSCAF-4434_11342574"
"72",1,"1","ScnbKXS_3754-HRSCAF-4434_11342615"
"73",1,"1","ScnbKXS_3754-HRSCAF-4434_11343011"
"74",1,"1","ScnbKXS_3754-HRSCAF-4434_11343175"
"75",1,"1","ScnbKXS_3754-HRSCAF-4434_11343623"
"76",1,"1","ScnbKXS_3754-HRSCAF-4434_11343632"
"77",1,"1","ScnbKXS_3754-HRSCAF-4434_11343687"
"78",1,"1","ScnbKXS_3754-HRSCAF-4434_11492967"
"79",1,"1","ScnbKXS_3754-HRSCAF-4434_11496018"
"80",1,"1","ScnbKXS_3754-HRSCAF-4434_11924342"
