"","bins","chr","mark"
"1",1,"1","ScnbKXS_292-HRSCAF-342_41529"
"2",1,"1","ScnbKXS_292-HRSCAF-342_41867"
"3",1,"1","ScnbKXS_390-HRSCAF-460_14906584"
"4",1,"1","ScnbKXS_390-HRSCAF-460_14906614"
"5",1,"1","ScnbKXS_390-HRSCAF-460_14906919"
"6",1,"1","ScnbKXS_390-HRSCAF-460_14906925"
"7",1,"1","ScnbKXS_390-HRSCAF-460_14906970"
"8",1,"1","ScnbKXS_390-HRSCAF-460_14906976"
"9",1,"1","ScnbKXS_390-HRSCAF-460_14906985"
"10",1,"1","ScnbKXS_390-HRSCAF-460_14906988"
"11",1,"1","ScnbKXS_390-HRSCAF-460_14907986"
"12",1,"1","ScnbKXS_390-HRSCAF-460_14908016"
"13",1,"1","ScnbKXS_390-HRSCAF-460_14908404"
"14",1,"1","ScnbKXS_390-HRSCAF-460_14908969"
"15",1,"1","ScnbKXS_390-HRSCAF-460_14908999"
"16",1,"1","ScnbKXS_390-HRSCAF-460_14909011"
"17",1,"1","ScnbKXS_390-HRSCAF-460_14909023"
"18",1,"1","ScnbKXS_390-HRSCAF-460_14909149"
"19",1,"1","ScnbKXS_390-HRSCAF-460_14909152"
"20",1,"1","ScnbKXS_390-HRSCAF-460_14909185"
"21",1,"1","ScnbKXS_390-HRSCAF-460_14909197"
"22",1,"1","ScnbKXS_390-HRSCAF-460_14909322"
"23",1,"1","ScnbKXS_1784-HRSCAF-2109_443679"
"24",1,"1","ScnbKXS_3564-HRSCAF-4214_1360926"
"25",1,"1","ScnbKXS_3564-HRSCAF-4214_1604116"
"26",1,"1","ScnbKXS_3564-HRSCAF-4214_2669755"
"27",1,"1","ScnbKXS_3754-HRSCAF-4434_13873223"
"28",1,"1","ScnbKXS_3754-HRSCAF-4434_14098119"
"29",1,"1","ScnbKXS_3754-HRSCAF-4434_14119952"
"30",1,"1","ScnbKXS_3754-HRSCAF-4434_14124209"
