marker,chr,pos
11131_11977806,L.1,0
11131_11330503,L.1,11.09323231
11131_11155054,L.1,11.09323231
11131_11285597,L.1,11.09323231
11131_11388298,L.1,11.09323231
11131_11392949,L.1,11.09323231
11131_11395030,L.1,11.09323231
11131_11404162,L.1,11.09323231
11131_11438018,L.1,11.09323231
11131_11438216,L.1,11.09323231
11131_11438765,L.1,11.09323231
11131_11518634,L.1,11.09323231
11131_11447352,L.1,11.09323231
11131_11285806,L.1,11.09323231
11131_11330751,L.1,11.09323231
11131_11518355,L.1,11.09323231
11131_11284909,L.1,11.64881073
11131_11527598,L.1,11.64881073
11131_11797829,L.1,12.76010479
11131_11758303,L.1,13.31568321
11131_11893887,L.1,13.87126163
11131_11957546,L.1,14.42684005
11131_11672921,L.1,14.42684005
11131_11907805,L.1,14.42684005
11131_11959064,L.1,14.42684005
11131_11967942,L.1,14.42684005
11131_11990065,L.1,14.42684005
11131_11994042,L.1,14.42684005
11131_12053831,L.1,14.42684005
11131_12059719,L.1,14.42684005
11131_12061395,L.1,14.42684005
11131_11967881,L.1,14.42684005
11131_11967935,L.1,14.42684005
11131_11967940,L.1,14.42684005
11131_11969207,L.1,14.42684005
11131_11969312,L.1,14.42684005
11131_11969526,L.1,14.42684005
11131_11969553,L.1,14.42684005
11131_11969560,L.1,14.42684005
11131_11977647,L.1,14.42684005
11131_11977671,L.1,14.42684005
11131_11994326,L.1,14.42684005
11131_12053789,L.1,14.42684005
11131_12061653,L.1,14.42684005
11131_12234670,L.1,14.98241847
11131_12137639,L.1,14.98241847
11131_12142495,L.1,14.98241847
11131_12146665,L.1,14.98241847
11131_12224143,L.1,14.98241847
11131_12227527,L.1,14.98241847
11131_12223556,L.1,14.98241847
11131_12258317,L.1,15.53799689
11131_12283865,L.1,16.09357531
11131_12709962,L.1,16.64915373
11131_12677159,L.1,16.64915373
11131_12710299,L.1,16.64915373
11131_12705176,L.1,16.64915373
11131_12703210,L.1,16.64915373
11131_12705516,L.1,16.64915373
11131_12705909,L.1,16.64915373
11131_12706467,L.1,16.64915373
11131_12706557,L.1,16.64915373
11131_12706582,L.1,16.64915373
11131_12706994,L.1,16.64915373
11131_12707004,L.1,16.64915373
11131_12707130,L.1,16.64915373
11131_12707348,L.1,16.64915373
11131_13200029,L.1,17.20473215
11131_13026210,L.1,17.20473215
11131_13282720,L.1,17.20473215
11131_13282741,L.1,17.20473215
11131_13283874,L.1,17.20473215
11131_13284107,L.1,17.20473215
11131_13616465,L.1,17.20473215
11131_13616504,L.1,17.20473215
11131_13617399,L.1,17.20473215
11131_13620778,L.1,17.20473215
11131_13025313,L.1,17.20473215
11131_13029835,L.1,17.20473215
11131_13101397,L.1,17.20473215
11131_13201961,L.1,17.20473215
11131_13283840,L.1,17.20473215
11131_13283891,L.1,17.20473215
11131_13283907,L.1,17.20473215
11131_13283954,L.1,17.20473215
11131_13284369,L.1,17.20473215
11131_13616575,L.1,17.20473215
11131_13617121,L.1,17.20473215
