"","mark","chr","pos","neglog10P","missing","AA","AB","BB"
"1","ScnbKXS_17151-HRSCAF-21375_4257203","L.11",0,7.50947656345898,0,0.516483516483517,0.307692307692308,0.175824175824176
"2","ScnbKXS_15747-HRSCAF-18436_1967476","L.11",10.1813064743134,13.6175447547886,0.010989010989011,0.611111111111111,0.244444444444444,0.144444444444444
"3","ScnbKXS_15747-HRSCAF-18436_2297452","L.11",17.7102257501919,15.2981424367129,0,0.604395604395604,0.395604395604396,0
"4","ScnbKXS_15747-HRSCAF-18436_1563812","L.11",17.7102257501919,15.2981424367129,0,0.604395604395604,0.395604395604396,0
"5","ScnbKXS_15747-HRSCAF-18436_123143","L.11",18.2596984181613,16.0187849286622,0,0.615384615384615,0.384615384615385,0
"6","ScnbKXS_15747-HRSCAF-18436_428162","L.11",18.2596984181613,16.0187849286622,0,0.615384615384615,0.384615384615385,0
"7","ScnbKXS_15747-HRSCAF-18436_126722","L.11",19.3587765036892,13.9763860539774,0.032967032967033,0.590909090909091,0.409090909090909,0
"8","ScnbKXS_15747-HRSCAF-18436_57909","L.11",19.3587765036892,13.9763860539774,0.032967032967033,0.590909090909091,0.409090909090909,0
"9","ScnbKXS_15747-HRSCAF-18436_3622007","L.11",19.9082491716586,12.9015412468845,0.043956043956044,0.574712643678161,0.425287356321839,0
"10","ScnbKXS_15747-HRSCAF-18436_1919357","L.11",19.9082491716586,13.942761855828,0,0.582417582417582,0.417582417582418,0
"11","ScnbKXS_15787-HRSCAF-18523_846148","L.11",19.9082491716586,13.9763860539774,0.032967032967033,0.590909090909091,0.409090909090909,0
"12","ScnbKXS_15787-HRSCAF-18523_852608","L.11",19.9082491716586,13.1044700129346,0.021978021978022,0.573033707865168,0.426966292134831,0
"13","ScnbKXS_15787-HRSCAF-18523_842970","L.11",19.9082491716586,14.2194003643841,0.043956043956044,0.597701149425287,0.402298850574713,0
"14","ScnbKXS_15787-HRSCAF-18523_352435","L.11",19.9082491716586,14.9232569385031,0.043956043956044,0.609195402298851,0.390804597701149,0
"15","ScnbKXS_15787-HRSCAF-18523_845292","L.11",20.457721839628,13.6358596988487,0.032967032967033,0.590909090909091,0.397727272727273,0.0113636363636364
"16","ScnbKXS_15787-HRSCAF-18523_2047284","L.11",21.5567999251559,14.1724765927761,0.010989010989011,0.588888888888889,0.411111111111111,0
"17","ScnbKXS_16357-HRSCAF-19718_2995733","L.11",22.1062725931252,13.74371245259,0.021978021978022,0.584269662921348,0.415730337078652,0
"18","ScnbKXS_15787-HRSCAF-18523_1314081","L.11",22.1062725931252,12.9015412468845,0.043956043956044,0.574712643678161,0.425287356321839,0
"19","ScnbKXS_15787-HRSCAF-18523_969132","L.11",23.2053506786531,16.0187849286622,0,0.615384615384615,0.384615384615385,0
"20","ScnbKXS_15787-HRSCAF-18523_932613","L.11",23.2053506786531,16.0187849286622,0,0.615384615384615,0.384615384615385,0
"21","ScnbKXS_16357-HRSCAF-19718_2425725","L.11",23.7548233466225,14.9232569385031,0.043956043956044,0.609195402298851,0.390804597701149,0
"22","ScnbKXS_16357-HRSCAF-19718_2416503","L.11",23.7548233466225,16.1231826406582,0.032967032967033,0.625,0.375,0
"23","ScnbKXS_16357-HRSCAF-19718_2425869","L.11",23.7548233466225,15.1100321709373,0.021978021978022,0.606741573033708,0.393258426966292,0
"24","ScnbKXS_16357-HRSCAF-19718_2145535","L.11",24.3042960145919,15.2981424367129,0,0.604395604395604,0.395604395604396,0
"25","ScnbKXS_16357-HRSCAF-19718_1117302","L.11",24.8537686825613,14.6061347457682,0,0.593406593406593,0.406593406593407,0
"26","ScnbKXS_16357-HRSCAF-19718_825760","L.11",24.8537686825613,14.6061347457682,0,0.593406593406593,0.406593406593407,0
"27","ScnbKXS_16357-HRSCAF-19718_559507","L.11",25.4032413505306,13.942761855828,0,0.582417582417582,0.417582417582418,0
"28","ScnbKXS_16357-HRSCAF-19718_398928","L.11",25.9527140185,12.8985461125266,0.010989010989011,0.566666666666667,0.433333333333333,0
"29","ScnbKXS_16357-HRSCAF-19718_73950","L.11",25.9527140185,12.7019204789616,0,0.56043956043956,0.43956043956044,0
"30","ScnbKXS_16357-HRSCAF-19718_281990","L.11",25.9527140185,13.3080237668925,0,0.571428571428571,0.428571428571429,0
"31","ScnbKXS_16357-HRSCAF-19718_805254","L.11",27.0517921040279,13.942761855828,0,0.582417582417582,0.417582417582418,0
"32","ScnbKXS_16357-HRSCAF-19718_1399381","L.11",28.1508701895558,12.4945058529582,0.021978021978022,0.561797752808989,0.438202247191011,0
"33","ScnbKXS_16357-HRSCAF-19718_1343842","L.11",28.1508701895558,12.7019204789616,0,0.56043956043956,0.43956043956044,0
"34","ScnbKXS_16357-HRSCAF-19718_489233","L.11",29.2499482750837,11.3624123720418,0.021978021978022,0.539325842696629,0.460674157303371,0
"35","ScnbKXS_16357-HRSCAF-19718_281316","L.11",29.2499482750837,11.5756183061136,0,0.538461538461538,0.461538461538462,0
"36","ScnbKXS_17151-HRSCAF-21375_543284","L.11",29.7994209430531,11.0554194211965,0,0.527472527472527,0.472527472527473,0
"37","ScnbKXS_17151-HRSCAF-21375_417158","L.11",29.7994209430531,10.6252391348399,0.043956043956044,0.528735632183908,0.471264367816092,0
"38","ScnbKXS_17151-HRSCAF-21375_416757","L.11",31.0084477353886,10.6252391348399,0.043956043956044,0.528735632183908,0.471264367816092,0
"39","ScnbKXS_17151-HRSCAF-21375_91084","L.11",31.0084477353886,12.1244519920353,0,0.549450549450549,0.450549450549451,0
"40","ScnbKXS_17151-HRSCAF-21375_1305437","L.11",31.557920403358,12.7019204789616,0,0.56043956043956,0.43956043956044,0
"41","ScnbKXS_17151-HRSCAF-21375_1123217","L.11",31.557920403358,12.7019204789616,0,0.56043956043956,0.43956043956044,0
