marker,chr,pos
14162_26060176,L.10,0
14162_26089863,L.10,0
14162_26173170,L.10,0
14162_26318529,L.10,0
14162_26173474,L.10,0
14162_26338759,L.10,0
14162_25952545,L.10,0.568206277
14162_25950329,L.10,0.568206277
14162_25954405,L.10,0.568206277
14162_25954412,L.10,0.568206277
14162_25955220,L.10,0.568206277
14162_25955969,L.10,0.568206277
14162_26007121,L.10,0.568206277
14162_26007154,L.10,0.568206277
14162_25989074,L.10,0.568206277
14162_25954958,L.10,0.568206277
14162_25959828,L.10,0.568206277
14162_25989098,L.10,0.568206277
14162_25955060,L.10,0.568206277
14162_26005691,L.10,0.568206277
14162_25556142,L.10,1.136412554
14162_25252475,L.10,2.272971906
14162_25332872,L.10,2.272971906
14162_25334096,L.10,2.272971906
14162_25334132,L.10,2.272971906
14162_25334162,L.10,2.272971906
14162_25334269,L.10,2.272971906
14162_25407206,L.10,2.272971906
14162_25409561,L.10,2.272971906
14162_25423909,L.10,2.272971906
14162_25424127,L.10,2.272971906
14162_25424253,L.10,2.272971906
14162_25424651,L.10,2.272971906
14162_25425468,L.10,2.272971906
14162_25426238,L.10,2.272971906
14162_25497464,L.10,2.272971906
14162_25497542,L.10,2.272971906
14162_25497592,L.10,2.272971906
14162_25497619,L.10,2.272971906
14162_25497674,L.10,2.272971906
14162_25409260,L.10,2.272971906
14162_25406856,L.10,2.272971906
14162_25406973,L.10,2.272971906
14162_25426683,L.10,2.272971906
14162_25497887,L.10,2.272971906
14162_25498009,L.10,2.272971906
14162_25320699,L.10,2.272971906
14162_25334261,L.10,2.272971906
14162_25325108,L.10,2.272971906
14162_24784621,L.10,2.841178183
14162_24784695,L.10,2.841178183
14162_24784697,L.10,2.841178183
14162_24784727,L.10,2.841178183
14162_24666108,L.10,3.40938446
14162_24666185,L.10,3.40938446
14162_24619919,L.10,3.40938446
14162_24764510,L.10,3.40938446
14162_24618170,L.10,3.40938446
14162_24510556,L.10,3.977590737
14162_24502979,L.10,3.977590737
14162_24510670,L.10,3.977590737
14162_24511451,L.10,3.977590737
14162_24511517,L.10,3.977590737
14162_24512990,L.10,3.977590737
14162_24509595,L.10,3.977590737
14162_24503861,L.10,3.977590737
14162_24512419,L.10,3.977590737
14162_23222910,L.10,6.251885192
14162_23219253,L.10,6.251885192
14162_23219268,L.10,6.251885192
14162_23219925,L.10,6.251885192
14162_23220096,L.10,6.251885192
14162_23224454,L.10,6.251885192
14162_23224604,L.10,6.251885192
14162_23225468,L.10,6.251885192
14162_24094909,L.10,6.251885192
14162_24097014,L.10,6.251885192
14162_23224014,L.10,6.251885192
14162_23219919,L.10,6.251885192
14162_23220857,L.10,6.251885192
14162_24085192,L.10,6.251885192
14162_24086403,L.10,6.251885192
14162_24088282,L.10,6.251885192
14162_24095261,L.10,6.251885192
14162_24095439,L.10,6.251885192
14162_24096117,L.10,6.251885192
14162_24096125,L.10,6.251885192
