"","scaffold","ref_start","ref_end","LG","LG_position_start","LG_position_end","locus","samp_sizetot","SynSitestot","Dxy_Ks_NMX","scaffold.1","scaffold_num","pct_identical","length","n_mismatch","n_gaps","q_start","q_end","ref_start.1","ref_end.1","evalue","bitscore"
"1",14162,8686255,8685733,"L.10",18384009,18384531,10717,24,90.74,0.093741238,"ScnbKXS_14162;HRSCAF=16520",14162,99.426,523,3,0,1204,1726,8686255,8685733,0,950
"2",14162,8687555,8687186,"L.10",18382709,18383078,10717,24,90.74,0.093741238,"ScnbKXS_14162;HRSCAF=16520",14162,99.189,370,3,0,838,1207,8687555,8687186,0,667
"3",14162,8689274,8689026,"L.10",18380990,18381238,10717,24,90.74,0.093741238,"ScnbKXS_14162;HRSCAF=16520",14162,100,249,0,0,593,841,8689274,8689026,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000502,460
"4",14162,8689940,8689349,"L.10",18380324,18380915,10717,24,90.74,0.093741238,"ScnbKXS_14162;HRSCAF=16520",14162,99.158,594,3,1,1,594,8689940,8689349,0,1068
"8",1939,67254,67508,"L.10",120773840,120773586,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,99.608,255,1,0,1385,1639,67254,67508,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000167,466
"9",1939,67508,67202,"L.10",120773586,120773892,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,99.349,307,2,0,1079,1385,67508,67202,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000963,556
"12",1939,68168,68338,"L.10",120772926,120772756,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,99.415,171,1,0,1812,1982,68168,68338,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000827,311
"13",1939,68338,68168,"L.10",120772756,120772926,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,99.415,171,1,0,736,906,68338,68168,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000827,311
"14",1939,68495,68687,"L.10",120772599,120772407,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,99.482,193,1,0,1975,2167,68495,68687,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000488,351
"15",1939,68687,68495,"L.10",120772407,120772599,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,99.482,193,1,0,551,743,68687,68495,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000488,351
"16",1939,68802,68924,"L.10",120772292,120772170,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,100,123,0,0,2165,2287,68802,68924,0.00000000000000000000000000000000000000000000000000000000857,228
"17",1939,68924,68802,"L.10",120772170,120772292,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,100,123,0,0,431,553,68924,68802,0.00000000000000000000000000000000000000000000000000000000857,228
"18",1939,69053,69452,"L.10",120772041,120771642,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,99.25,400,2,1,2281,2679,69053,69452,0,721
"19",1939,69316,69357,"L.10",120771778,120771737,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,100,42,0,0,1,42,69316,69357,0.00000000000914,78.7
"20",1939,69357,69316,"L.10",120771737,120771778,3111,20,113.3730159,0.064161239,"ScnbKXS_1939;HRSCAF=2289",1939,100,42,0,0,2676,2717,69357,69316,0.00000000000914,78.7
"24",2495,1932152,1934088,"L.10",142528161,142526225,2327,24,350.42,0.047143646,"ScnbKXS_2495;HRSCAF=2946",2495,99.432,1938,9,2,1,1937,1932152,1934088,0,3517
"25",2495,1933947,1933906,"L.10",142526366,142526407,2327,24,350.42,0.047143646,"ScnbKXS_2495;HRSCAF=2946",2495,100,42,0,0,1930,1971,1933947,1933906,0.0000000000066,78.7
"28",326,75218,74969,"L.10",107580799,107581048,7140,24,51.81333333,0.046755995,"ScnbKXS_326;HRSCAF=382",326,100,250,0,0,4274,4523,75218,74969,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000442,462
"29",326,76958,75422,"L.10",107579059,107580595,7140,24,51.81333333,0.046755995,"ScnbKXS_326;HRSCAF=382",326,99.545,1538,5,2,2742,4278,76958,75422,0,2800
"31",326,79959,77474,"L.10",107576058,107578543,7140,24,51.81333333,0.046755995,"ScnbKXS_326;HRSCAF=382",326,99.397,2489,11,4,256,2743,79959,77474,0,4510
